,id;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
0,3;2012;23;3;0;0;2;23.78;27.275;73;11.0014;133
1,4;2011;8;3;0;0;1;27.88;31.82;57;0;132
2,5;2012;2;1;0;1;1;20.5;24.24;59;0;19
3,7;2011;20;3;0;1;3;25.42;28.79;83;19.9995;58
4,8;2011;17;3;0;1;3;26.24;28.79;89;0;285
5,9;2011;19;2;0;1;2;34.44;37.12;39;22.0028;326
6,10;2012;23;2;0;1;2;23.78;27.275;78;7.0015;75
7,11;2011;22;3;0;1;1;25.42;27.275;94;0;160
8,12;2011;14;3;0;1;1;35.26;41.665;53;19.0012;134
9,13;2011;13;1;0;0;2;18.86;22.725;72;19.9995;94
10,15;2012;15;2;0;0;1;27.06;31.06;50;15.0013;463
11,16;2012;19;2;0;1;1;19.68;23.485;31;16.9979;487
12,18;2012;22;3;0;1;1;29.52;34.09;70;7.0015;288
13,19;2011;0;3;0;1;1;28.7;31.82;45;7.0015;46
14,21;2011;6;3;0;1;2;26.24;29.545;78;16.9979;103
15,22;2012;7;3;0;1;2;28.7;33.335;74;7.0015;520
16,23;2011;12;3;0;1;2;31.16;36.365;70;19.0012;213
17,24;2012;4;4;0;0;2;13.12;15.15;49;19.9995;16
18,25;2012;17;1;0;1;1;17.22;21.21;32;22.0028;465
19,26;2011;1;2;0;0;1;12.3;15.91;61;7.0015;34
20,27;2012;5;3;0;1;1;27.06;30.305;83;11.0014;37
21,31;2012;6;1;0;1;1;13.94;17.425;57;7.0015;88
22,33;2011;15;4;0;1;2;22.14;25.76;60;8.9981;191
23,35;2012;13;3;0;0;1;33.62;38.635;52;35.0008;668
24,36;2011;23;4;0;0;1;14.76;18.18;81;6.0032;25
25,37;2012;13;3;0;1;1;36.9;38.635;25;8.9981;283
26,38;2011;17;4;0;0;1;10.66;12.88;48;15.0013;165
27,39;2012;10;2;0;1;3;19.68;23.485;47;15.0013;147
28,40;2012;9;2;0;1;1;25.42;30.305;65;11.0014;366
29,42;2012;1;4;0;1;2;12.3;15.91;65;6.0032;21
30,43;2011;23;3;0;1;1;26.24;31.06;61;11.0014;167
31,44;2012;10;2;0;1;1;16.4;20.455;50;19.9995;141
32,48;2011;0;2;0;1;1;18.86;22.725;72;8.9981;177
33,50;2012;4;2;0;1;2;22.14;25.76;77;15.0013;6
34,51;2011;8;1;0;0;1;5.74;7.575;86;8.9981;30
35,53;2011;17;3;0;1;1;30.34;33.335;51;15.0013;579
36,54;2012;23;3;0;1;1;19.68;23.485;67;6.0032;123
37,55;2011;2;4;0;1;1;19.68;23.485;77;7.0015;23
38,56;2012;6;2;0;1;1;20.5;24.24;77;19.9995;165
39,57;2012;22;2;0;0;1;19.68;23.485;20;12.998;182
40,58;2012;3;3;0;0;2;25.42;30.305;61;11.0014;55
41,60;2012;4;3;0;0;1;25.42;29.545;73;15.0013;13
42,63;2012;1;2;0;1;3;22.96;26.515;60;11.0014;14
43,64;2011;23;4;1;0;2;22.14;25.76;88;7.0015;75
44,65;2011;8;1;0;0;3;16.4;20.455;71;15.0013;8
45,67;2012;23;3;0;1;1;29.52;34.85;79;0;138
46,68;2011;6;1;0;0;2;17.22;21.21;94;23.9994;2
47,69;2011;1;4;0;1;2;18.86;22.725;100;16.9979;13
48,70;2011;7;2;0;0;2;17.22;21.21;77;6.0032;33
49,72;2011;4;2;0;0;2;21.32;25;100;0;13
50,73;2011;1;2;0;1;1;18.86;22.725;72;8.9981;114
51,74;2011;6;2;0;0;3;16.4;20.455;82;22.0028;10
52,75;2011;10;1;0;0;1;5.74;5.305;43;26.0027;49
53,76;2011;12;2;0;1;3;22.96;26.515;83;27.9993;153
54,79;2012;0;3;0;1;1;27.06;31.06;69;0;76
55,80;2012;12;2;0;1;1;22.14;25.76;22;19.0012;259
56,81;2011;2;3;0;1;1;27.06;29.545;89;0;7
57,82;2012;0;3;0;1;1;31.16;36.365;66;11.0014;53
58,83;2012;17;4;0;1;3;22.96;26.515;60;16.9979;856
59,85;2012;21;2;0;0;1;20.5;24.24;20;12.998;234
60,86;2012;3;4;0;1;3;14.76;16.665;87;23.9994;5
61,88;2011;7;2;0;1;3;14.76;17.425;100;15.0013;70
62,90;2012;16;4;0;1;1;18.86;22.725;41;23.9994;520
63,92;2012;7;3;0;0;1;26.24;29.545;78;19.0012;48
64,93;2011;11;3;0;1;2;29.52;34.09;66;6.0032;165
65,94;2011;14;1;0;1;1;10.66;12.88;52;15.0013;63
66,95;2012;10;1;0;1;2;10.66;12.88;70;15.0013;108
67,96;2012;9;3;0;1;2;29.52;34.09;62;12.998;367
68,98;2011;12;2;0;0;2;17.22;21.21;88;8.9981;230
69,99;2011;8;4;0;1;2;20.5;24.24;51;16.9979;414
70,101;2012;10;1;0;1;2;7.38;9.85;93;11.0014;83
71,104;2012;14;3;0;1;1;33.62;39.395;56;7.0015;211
72,106;2012;4;1;0;1;1;9.02;11.365;69;8.9981;3
